ID_bien;Surface Carrez du 1er lot;Code type local;Type local;Nombre pieces principales;ID_commune
632;64.63;1;Maison;3;632
633;72.8;2;Appartement;3;633
634;42.24;2;Appartement;2;634
635;44.77;2;Appartement;2;635
636;91;2;Appartement;3;636
637;42.9;2;Appartement;1;637
638;51.15;2;Appartement;2;638
639;78.87;2;Appartement;3;639
640;15.24;2;Appartement;1;640
641;220.02;2;Appartement;7;641
642;271.58;2;Appartement;1;642
643;22.75;2;Appartement;1;643
644;35.87;2;Appartement;2;644
645;131.19;2;Appartement;4;645
646;110.6;2;Appartement;4;646
647;50.32;2;Appartement;2;647
648;33.33;2;Appartement;2;648
649;63.6;1;Maison;4;649
650;19.39;2;Appartement;1;650
651;9.82;2;Appartement;1;651
652;51.5;2;Appartement;2;652
653;185.05;2;Appartement;3;653
654;60.13;2;Appartement;2;654
655;45;2;Appartement;2;655
656;55.86;2;Appartement;2;656
657;90.53;2;Appartement;4;657
658;80.27;2;Appartement;4;658
659;34.93;2;Appartement;2;659
660;44.12;2;Appartement;2;660
661;6.67;2;Appartement;1;661
662;15.9;2;Appartement;1;662
663;26.2;2;Appartement;1;663
664;34.39;2;Appartement;1;664
665;115.22;2;Appartement;4;665
666;37.98;2;Appartement;1;666
667;80.71;2;Appartement;4;667
668;109.5;2;Appartement;5;668
669;77.62;2;Appartement;2;669
670;41.24;2;Appartement;2;670
671;62.5;2;Appartement;4;671
672;50.04;2;Appartement;3;672
673;89.66;2;Appartement;4;673
674;32.6;2;Appartement;2;674
675;66.35;2;Appartement;3;675
676;91.17;2;Appartement;5;676
677;56.89;2;Appartement;3;677
678;89.5;2;Appartement;3;678
679;44.11;2;Appartement;3;679
680;33.04;2;Appartement;3;680
681;26.05;2;Appartement;1;681
682;18.69;2;Appartement;1;682
683;34.33;2;Appartement;1;683
684;36.55;2;Appartement;2;684
685;38.58;2;Appartement;2;685
686;40.75;2;Appartement;2;686
687;53.19;2;Appartement;3;687
688;61.35;2;Appartement;3;688
689;74.62;2;Appartement;3;689
690;56.19;2;Appartement;2;690
691;98.18;2;Appartement;3;691
692;38.82;2;Appartement;3;692
693;14.35;2;Appartement;1;693
694;41.36;2;Appartement;2;694
695;150.36;2;Appartement;5;695
696;18.18;2;Appartement;1;696
697;18.81;2;Appartement;1;697
698;32.24;2;Appartement;1;698
699;164.4;2;Appartement;1;699
700;89.27;2;Appartement;4;700
701;86.05;2;Appartement;4;701
702;64.2;2;Appartement;3;702
703;69.59;2;Appartement;3;703
704;52.32;2;Appartement;4;704
705;75.25;2;Appartement;2;705
706;57.1;2;Appartement;3;706
707;35.02;2;Appartement;2;707
708;114.02;2;Appartement;5;708
709;58.27;2;Appartement;3;709
710;142.86;2;Appartement;3;710
711;34.02;2;Appartement;2;711
712;59.25;2;Appartement;2;712
713;26.75;2;Appartement;2;713
714;56.05;2;Appartement;2;714
715;51.15;2;Appartement;2;715
716;27.03;2;Appartement;1;716
717;22.24;2;Appartement;2;717
718;140.7;2;Appartement;4;718
719;35.5;2;Appartement;1;719
720;68.6;2;Appartement;3;720
721;73.07;2;Appartement;3;721
722;53.37;2;Appartement;2;722
723;83.52;2;Appartement;4;723
724;109;1;Maison;4;724
725;125.28;2;Appartement;5;725
726;53.72;2;Appartement;2;726
727;41.51;2;Appartement;2;727
728;60.34;2;Appartement;3;728
729;25.49;2;Appartement;1;729
730;74.41;2;Appartement;3;730
731;17.55;2;Appartement;1;731
732;36.22;2;Appartement;3;732
733;28.89;2;Appartement;1;733
734;56.32;2;Appartement;3;734
735;33.53;2;Appartement;2;735
736;27;2;Appartement;7;736
737;73.43;2;Appartement;3;737
738;16.8;2;Appartement;1;738
739;39.79;2;Appartement;1;739
740;69;2;Appartement;3;740
741;41.01;2;Appartement;3;741
742;54.49;2;Appartement;3;742
743;41.27;2;Appartement;2;743
744;23.04;2;Appartement;1;744
745;27.08;2;Appartement;1;745
746;43.08;2;Appartement;2;746
747;55.32;2;Appartement;3;747
748;38.78;2;Appartement;2;748
749;47.35;2;Appartement;2;749
750;26.08;2;Appartement;2;750
751;65.28;2;Appartement;2;751
752;288.59;1;Maison;6;752
