ID_commune;Code postal;Commune;Code departement;ID_adresse
20561;83250;LA LONDE LES MAURES;83;20561
20562;83330;LE BEAUSSET;83;20562
20563;83190;OLLIOULES;83;20563
20564;83270;SAINT-CYR-SUR-MER;83;20564
20565;83270;SAINT-CYR-SUR-MER;83;20565
20566;83400;HYERES;83;20566
20567;83110;SANARY SUR MER;83;20567
20568;83190;OLLIOULES;83;20568
20569;83110;SANARY SUR MER;83;20569
20570;83330;LE BEAUSSET;83;20570
20571;83270;SAINT-CYR-SUR-MER;83;20571
20572;83150;BANDOL;83;20572
20573;83400;HYERES;83;20573
20574;83400;HYERES;83;20574
20575;83400;HYERES;83;20575
20576;83400;HYERES;83;20576
20577;83400;HYERES;83;20577
20578;83400;HYERES;83;20578
20579;83150;BANDOL;83;20579
20580;83330;LE BEAUSSET;83;20580
20581;83190;OLLIOULES;83;20581
20582;83250;LA LONDE LES MAURES;83;20582
20583;83110;SANARY SUR MER;83;20583
20584;83230;BORMES-LES-MIMOSAS;83;20584
20585;83400;HYERES;83;20585
20586;83150;BANDOL;83;20586
20587;83400;HYERES;83;20587
20588;83190;OLLIOULES;83;20588
20589;83390;CUERS;83;20589
20590;83210;LA FARLEDE;83;20590
